Business Name,Type,Address,Phone,Website,Opening Hours,Maps URL,Rating,Reviews Count
Salon Lienela,Beauty Salon,"Vojkova cesta 63, 1000 Ljubljana, Slovenia",070 777 747,https://salon-lienela.si/,Monday: 6:30 AM - 8:00 PM | Tuesday: 6:30 AM - 8:00 PM | Wednesday: 6:30 AM - 8:00 PM | Thursday: 6:30 AM - 8:00 PM | Friday: 6:30 AM - 8:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=1543375480064119301,4.9,157
Center Nohtne Estetike Ljubljana,Nail Salon,"Dunajska cesta 56 Pasaža Bežigrajski dvor, Dunajska c. 56, 1000 Ljubljana, Slovenia",041 777 874,https://www.instagram.com/idealnails.si/,Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=9726765194196794028,4.7,29
"La Calma, nega telesa, Radmila Inđić s.p.",Skin Care Clinic,"Cesta v Mestni log 55, 1000 Ljubljana, Slovenia",064 251 135,,,https://maps.google.com/?cid=4844173782886961123,4.8,38
Daily lepotni salon,Beauty Salon,"Rakuševa ulica 24, 1000 Ljubljana, Slovenia",030 686 546,,Monday: 10:00 AM - 7:00 PM | Tuesday: 10:00 AM - 7:00 PM | Wednesday: 10:00 AM - 7:00 PM | Thursday: 10:00 AM - 7:00 PM | Friday: 10:00 AM - 7:00 PM | Saturday: 11:00 AM - 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=13020137604504870338,4.8,38
Medi-Pedi Ljubljana Center,Beauty Salon,"Slovenska cesta 30, 1000 Ljubljana, Slovenia",(01) 428 98 99,http://www.medi-pedi.si/sl/,Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=2131022934703071963,4.6,44
AD Beauty Studio,Beauty Salon,"Dolenjska cesta 246a, Celovška cesta 111, 1000 Ljubljana, Slovenia",051 607 087,https://adstudio.si/,Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: 7:00 AM - 12:00 PM | Sunday: Closed,https://maps.google.com/?cid=14602272948974883206,4.9,33
ANADIYA - Nail Salon & Shop,Nail Salon,"Dunajska c. 63, 1000 Ljubljana, Slovenia",030 310 315,http://shop.anadiya.com/,,https://maps.google.com/?cid=10194177494969950343,5,1
Nillandia trgovina Nina Ilovar s.p.,Skin Care Clinic,"Kotnikova ulica 5, 1000 Ljubljana, Slovenia",064 118 311,https://www.ninaihribar.si/kozmeticni-salon-ljubljana/,,https://maps.google.com/?cid=2607049802759385767,4.8,21
Salon lepote Serenity,Beauty Salon,"Slovenska cesta 59, 1000 Ljubljana, Slovenia",040 880 790,https://serenity.si/,Monday: 6:30 AM - 10:00 PM | Tuesday: 6:30 AM - 10:00 PM | Wednesday: 6:30 AM - 10:00 PM | Thursday: 6:30 AM - 10:00 PM | Friday: 6:30 AM - 10:00 PM | Saturday: 6:30 AM - 10:00 PM | Sunday: 6:30 AM - 10:00 PM,https://maps.google.com/?cid=5372128525175506635,4.7,182
Kozmetični salon - Jana Beauty salon,Beauty Salon,"Cesta v Mestni log 20, 1000 Ljubljana, Slovenia",051 856 003,https://jana-beauty.si/,,https://maps.google.com/?cid=3523905074258894439,5,30
Glam by Nika - lepotni studio,Beauty Salon,"Vojkova cesta 58, 1000 Ljubljana, Slovenia",069 839 010,http://www.glambynika.si/,,https://maps.google.com/?cid=9865058119704657829,4.6,18
ZANIA Beauty,Beauty Salon,"Slomškova ulica 35, 1000 Ljubljana, Slovenia",070 630 041,https://zaniabeauty.si/,,https://maps.google.com/?cid=11839339653197560414,5,15
Lassana - pedikerski salon,Skin Care Clinic,"Dalmatinova ulica 11, 1000 Ljubljana, Slovenia",(01) 232 84 86,http://www.lassana.si/,Monday: 7:00 AM - 9:00 PM | Tuesday: 7:00 AM - 9:00 PM | Wednesday: 7:00 AM - 9:00 PM | Thursday: 7:00 AM - 9:00 PM | Friday: 7:00 AM - 9:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=10989656271967431873,4.7,30
MY OH MY Ljubljana,Beauty Salon,"Metelkova ulica 15, 1000 Ljubljana, Slovenia",051 675 115,https://www.myohmy.si/,Monday: 10:00 AM - 7:00 PM | Tuesday: 10:00 AM - 7:00 PM | Wednesday: 10:00 AM - 7:00 PM | Thursday: 10:00 AM - 7:00 PM | Friday: 10:00 AM - 7:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=15485331203505230525,4.3,17
Kozmetični salon Cveta Hiršman,Beauty Salon,"Kolodvorska ulica 14a-1. nadstropje, 1000 Ljubljana, Slovenia",031 445 420,http://www.kozmetikakolodvorska.com/,Monday: 9:00 AM - 6:00 PM | Tuesday: 9:00 AM - 6:00 PM | Wednesday: 9:00 AM - 6:00 PM | Thursday: 9:00 AM - 6:00 PM | Friday: 9:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=7955670502492777037,4.5,31
Crystal Nails Slovenija,,"Šmartinska c. 28, 1000 Ljubljana, Slovenia",031 384 260,http://crystalnails.si/,,https://maps.google.com/?cid=13854302042525788815,4,8
Ana Nail Studio,Nail Salon,"Dunajska c. 388, 1231 Ljubljana - Črnuče, Slovenia",,,,https://maps.google.com/?cid=2832003474420319860,5,6
Lassana - frizerski in kozmetični salon,Hair Salon,"Čopova ulica 2, 1000 Ljubljana, Slovenia",(01) 251 37 11,http://www.lassana.si/,Monday: 7:00 AM - 7:00 PM | Tuesday: 7:00 AM - 7:00 PM | Wednesday: 7:00 AM - 7:00 PM | Thursday: 7:00 AM - 7:00 PM | Friday: 7:00 AM - 7:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=6897220771803785201,4.6,116
Gospa Svetska Studio,Beauty Salon,"Gosposvetska cesta 8, 1000 Ljubljana, Slovenia",068 949 893,https://www.instagram.com/gospasvetska/,Monday: 7:30 AM - 7:30 PM | Tuesday: 7:30 AM - 7:30 PM | Wednesday: 7:30 AM - 7:30 PM | Thursday: 7:30 AM - 7:30 PM | Friday: 7:30 AM - 7:30 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=7419672775811501673,5,3
Gold Spa,Beauty Salon,"Pražakova Ul 4, 1000 Ljubljana, Slovenia",070 145 477,http://goldspa.si/,Monday: 8:00 AM - 9:00 PM | Tuesday: 8:00 AM - 9:00 PM | Wednesday: 8:00 AM - 9:00 PM | Thursday: 8:00 AM - 9:00 PM | Friday: 8:00 AM - 9:00 PM | Saturday: 8:00 AM - 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=16371989072279037788,4.4,126
"Lassana - frizerski, pedikerski in kozmetični salon",Hair Salon,"Slovenska cesta 27, 1000 Ljubljana, Slovenia",(01) 251 53 39,https://lassana.si/saloni/lassana-salon-slovenska-27/,Monday: 6:00 AM - 8:00 PM | Tuesday: 6:00 AM - 8:00 PM | Wednesday: 6:00 AM - 8:00 PM | Thursday: 6:00 AM - 8:00 PM | Friday: 6:00 AM - 8:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=11515713985765843210,4.5,80
Manikurnik - Janin ustvarjalni manikurnik,Nail Salon,"Pavšičeva ulica 4, 1000 Ljubljana, Slovenia",040 151 979,https://manikurnik.si/,,https://maps.google.com/?cid=18353541486824958882,5,15
Nailbar nohtni studio,Nail Salon,"Celovška cesta 185, 1000 Ljubljana, Slovenia",040 474 911,https://nailbar.si/,Monday: 5:00 - 9:00 PM | Tuesday: 5:00 - 9:00 PM | Wednesday: 5:00 - 9:00 PM | Thursday: 5:00 - 9:00 PM | Friday: 5:00 - 9:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=9661817692754303490,5,1
Viki's Place Maxi | Frizerski salon Ljubljana,Beauty Salon,"Maximarket, Trg republike 1, 1000 Ljubljana, Slovenia",040 830 913,http://vikisplace.si/,Monday: 9:00 AM - 9:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=12089318979505164941,4.4,206
"Ninas, nails & hair professionalists",Beauty Salon,"Na jami 20, 1000 Ljubljana, Slovenia",040 374 910,,,https://maps.google.com/?cid=3151148930758379944,5,4
"Bm studio storitve in prodaja, d.o.o.",Skin Care Clinic,"Dunajska c. 63, 1000 Ljubljana, Slovenia",(01) 437 41 68,http://www.bmstudio.si/,,https://maps.google.com/?cid=4543344772831543524,5,196
"Cartiel - Nail podjetje za estetiko, d.o.o., Ljubljana",Nail Salon,"Peričeva ulica 27, 1000 Ljubljana, Slovenia",(01) 436 11 85,,,https://maps.google.com/?cid=10877130822494999232,5,1
Boris Hair & Nail studio Boris Rome s.p.,Hair Salon,"Dolenjska cesta 156b, 1000 Ljubljana, Slovenia",(01) 427 19 04,https://www.moja-dejavnost.si/akrilni-nohti-ljubljana/boris-hair--nail-studio-boris-rome-sp/MMxqAlvC,,https://maps.google.com/?cid=14286907570209684932,5,13
COCO Beauty by Ana,Beauty Salon,"Černetova ulica 12, 1000 Ljubljana, Slovenia",040 151 518,http://app.lime-booking.com/form/cocobeauty,,https://maps.google.com/?cid=8257603412256869079,5,9
Monin Kotiček Kozmetični salon Ljubljana,Skin Care Clinic,"Zaloška cesta 6, 1000 Ljubljana, Slovenia",040 895 769,http://www.monin-koticek.si/,Monday: 9:00 AM - 6:00 PM | Tuesday: 9:00 AM - 6:00 PM | Wednesday: 9:00 AM - 6:00 PM | Thursday: 9:00 AM - 6:00 PM | Friday: 9:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=14144787013048631078,5,174
ManiPediSpa,Skin Care Clinic,"Jurčkova Cesta 223, 1000 Ljubljana, Slovenia",040 382 669,http://www.manipedispa.si/,Monday: 9:00 AM - 9:00 PM | Tuesday: 9:00 AM - 9:00 PM | Wednesday: 9:00 AM - 9:00 PM | Thursday: 9:00 AM - 9:00 PM | Friday: 9:00 AM - 9:00 PM | Saturday: 8:00 AM - 9:00 PM | Sunday: Closed,https://maps.google.com/?cid=939553885525551505,4.5,23
Kotiček Za Nohte,Nail Salon,"Zaloška cesta 36, 1000 Ljubljana, Slovenia",,http://koticek-za-nohte.si/,,https://maps.google.com/?cid=10776158549716792883,5,4
"Čarobna Dolina, Studio Lepote in Zdravja",Skin Care Clinic,"Rojčeva ulica 20, 1000 Ljubljana, Slovenia",030 550 005,https://carobnadolina.eu/,Monday: 9:00 AM - 7:00 PM | Tuesday: 9:00 AM - 7:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 7:00 PM | Saturday: 9:00 AM - 7:00 PM | Sunday: Closed,https://maps.google.com/?cid=6097608944557690056,5,13
salon Manika,Nail Salon,"Dolenjska cesta 43, 1000 Ljubljana, Slovenia",041 344 115,https://nalakirajnohte.si/,Monday: 10:00 AM - 4:00 PM | Tuesday: 11:00 AM - 5:00 PM | Wednesday: 10:00 AM - 4:00 PM | Thursday: 11:00 AM - 5:00 PM | Friday: 10:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=301050024026233562,5,6
"Studio Alphie, oblikovanje in poslikava nohtov, Vesna Žurga s.p.",Nail Salon,"Dunajska c. 433, 1231 Ljubljana - Črnuče, Slovenia",040 147 898,http://www.studio-alphie.com/,,https://maps.google.com/?cid=6405043260313509649,5,18
SPA V MESTU (KOZMETIČNI SALON),Beauty Salon,"Trubarjeva cesta 45, 1000 Ljubljana, Slovenia",051 367 907,http://spavmestu.si/,Monday: 7:00 AM - 7:00 PM | Tuesday: 7:00 AM - 7:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 3:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=11762782117777787550,4.5,63
Indigo,Nail Salon,"Dunajska c. 203, 1000 Ljubljana, Slovenia",0820 05280,,Monday: 8:00 AM - 4:00 PM | Tuesday: 11:00 AM - 7:00 PM | Wednesday: 8:00 AM - 4:00 PM | Thursday: 11:00 AM - 7:00 PM | Friday: 8:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=8723449875007973117,4.8,43
Magnetic Studio Maya,Store,"Cesta v Kleče 9, 1000 Ljubljana, Slovenia",030 277 777,http://www.studiomaya.si/,Monday: 9:00 AM - 4:00 PM | Tuesday: 9:00 AM - 4:00 PM | Wednesday: 9:00 AM - 4:00 PM | Thursday: 9:00 AM - 4:00 PM | Friday: 9:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=6459445546992615648,4.7,39
Beauty Studio,Skin Care Clinic,"Linhartov podhod 33, 1000 Ljubljana, Slovenia",051 884 388,http://www.kozmeticnistudio-s.si/,Monday: 9:00 AM - 7:30 PM | Tuesday: 9:00 AM - 7:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 7:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=10615443822355108793,4.2,17
Adriana D. Nohti- Ljubljana- Gel nohti- Podaljševanje nohtov- Permanetno lakiranje,Nail Salon,"Šmartinska c. 106, 1000 Ljubljana, Slovenia",069 976 399,,Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 4:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=5347320578437267498,5,8
"Lassana frizersko podjetje, d.d.",Hair Salon,"Derčeva ulica 31, 1000 Ljubljana, Slovenia",(01) 519 31 07,https://lassana.si/saloni/lassana-salon-derceva-31/,Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=8137717812559705284,4.6,95
"Salon lepote Kleopatra, nega obraza po 40. letu",Beauty Salon,"Ziherlova ulica 8, 1000 Ljubljana, Slovenia",040 599 135,https://www.salonkleopatra.si/,Monday: 1:00 - 8:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 1:00 - 8:00 PM | Thursday: 1:00 - 8:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=13546185213875463021,4.5,17
Viki's Bar,Beauty Salon,"Wolfova ulica 10a, 1000 Ljubljana, Slovenia",0599 25579,http://vikisplace.si/,Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=5411701418699166790,4.6,52
"Amak Trade, trgovina in storitve, d.o.o.",Skin Care Clinic,"Tržaška c. 2, 1000 Ljubljana, Slovenia",(01) 565 30 10,http://manikira.si/,,https://maps.google.com/?cid=6551066797832415840,5,1
"Lassana - frizerski, pedikerski in kozmetični salon",Hair Salon,"Tržaška c. 37, 1000 Ljubljana, Slovenia",(01) 256 73 88,https://lassana.si/saloni/lassana-salon-trzaska-37/,Monday: 6:00 AM - 8:00 PM | Tuesday: 6:00 AM - 8:00 PM | Wednesday: 6:00 AM - 8:00 PM | Thursday: 6:00 AM - 8:00 PM | Friday: 6:00 AM - 8:00 PM | Saturday: 7:00 AM - 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=8207045705044941963,4.5,20
Lilly Nails Slovenija,,"Ameriška ulica 2, 1000 Ljubljana, Slovenia",040 730 449,http://www.lillynails.si/,Monday: 10:00 AM - 4:00 PM | Tuesday: 12:00 - 6:00 PM | Wednesday: 10:00 AM - 4:00 PM | Thursday: 12:00 - 6:00 PM | Friday: 10:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=10806930493134825269,5,5
Lepotni center ALOE VERA - masažni in kozmetični salon Ljubljana,Skin Care Clinic,"Kajuhova ulica 5b, 1000 Ljubljana, Slovenia",041 355 229,http://www.center-aloevera.si/,Monday: 8:00 AM - 8:00 PM | Tuesday: 8:00 AM - 8:00 PM | Wednesday: 8:00 AM - 8:00 PM | Thursday: 8:00 AM - 8:00 PM | Friday: 8:00 AM - 8:00 PM | Saturday: 9:00 AM - 5:00 PM | Sunday: Closed,https://maps.google.com/?cid=4300736673277668237,5,603
